bar,date,time,csv_CMMA_S,computed_CMMA_S,csv_CMMA_M,computed_CMMA_M,csv_CMMA_L,computed_CMMA_L
403,20241031,1900,nan,-32.66341587,nan,-25.60381924,nan,-0.5419855501
404,20241031,2000,nan,-29.52791161,nan,-25.66892416,nan,-1.340003492
405,20241031,2100,nan,-12.85628576,nan,-20.2052669,nan,2.123205765
406,20241031,2200,nan,-6.813504239,nan,-19.25702811,nan,2.207037306
407,20241031,2300,nan,-7.635272313,nan,-21.18315347,nan,0.3058135187
408,20241101,0000,nan,-8.164372717,nan,-22.15824689,nan,-0.989671826
409,20241101,0100,nan,-26.87731438,nan,-29.77402453,nan,-8.051307352
410,20241101,0200,nan,-19.52454164,nan,-27.25396805,nan,-6.63916738
411,20241101,0300,nan,-22.78010636,nan,-28.86204428,nan,-8.670373105
412,20241101,0400,nan,-13.22325836,nan,-25.99132941,nan,-6.894326682
413,20241101,0500,nan,-9.841528616,nan,-25.32212507,nan,-6.956261251
414,20241101,0600,nan,-19.47110104,nan,-28.88992363,nan,-10.59543793
415,20241101,0700,nan,-15.62214616,nan,-27.62659685,nan,-10.20032626
416,20241101,0800,nan,-9.445675194,nan,-25.86972903,nan,-9.459416835
417,20241101,0900,nan,-1.555521789,nan,-23.50840663,nan,-8.243240279
418,20241101,1000,nan,13.90753123,nan,-17.51057486,nan,-4.419924991
419,20241101,1100,nan,14.79602754,nan,-16.84569099,nan,-4.541355903
420,20241101,1200,nan,22.44887229,nan,-11.64297454,nan,-1.616002966
421,20241101,1300,nan,37.5180591,nan,0.2517285999,nan,5.576248577
422,20241101,1400,nan,35.61045451,nan,1.404106633,nan,5.894248903
423,20241101,1500,nan,-16.53522023,nan,-22.17217147,nan,-10.55856902
424,20241101,1600,nan,-1.01859561,nan,-15.11821488,nan,-6.089739422
425,20241101,1700,nan,-12.35226684,nan,-18.50120831,nan,-9.034727059
426,20241101,1800,nan,-24.15706031,nan,-22.90471313,nan,-12.75953665
427,20241101,1900,nan,-20.79177671,nan,-20.90307903,nan,-11.88769526
428,20241101,2000,nan,-20.62136321,nan,-20.54771814,nan,-12.15276492
429,20241101,2100,nan,-18.37267356,nan,-19.73332954,nan,-12.11699799
430,20241101,2200,nan,-11.82722127,nan,-17.12404704,nan,-10.79999457
431,20241101,2300,nan,-7.777958282,nan,-15.67485645,nan,-10.45460282
432,20241102,0000,nan,1.871997696,nan,-12.9397196,nan,-9.196096571
433,20241102,0100,nan,6.496079385,nan,-12.28036421,nan,-9.343585827
434,20241102,0200,nan,5.52484968,nan,-11.69921235,nan,-9.543184898
435,20241102,0300,nan,4.499313073,nan,-11.89480991,nan,-10.22687354
436,20241102,0400,nan,3.539660454,nan,-11.6218993,nan,-10.64463573
437,20241102,0500,nan,6.427812439,nan,-9.010254681,nan,-9.573666313
438,20241102,0600,nan,6.155051768,nan,-7.866333233,nan,-9.405384284
439,20241102,0700,nan,6.705853521,nan,-6.29262565,nan,-8.945983312
440,20241102,0800,nan,-0.1700980222,nan,-8.082913505,nan,-10.60750497
441,20241102,0900,nan,-2.830227722,nan,-8.393241196,nan,-11.34432492
442,20241102,1000,nan,-1.127052163,nan,-6.794632606,nan,-10.88126458
443,20241102,1100,nan,-1.461128121,nan,-6.312426604,nan,-11.09405847
444,20241102,1200,nan,-5.630343742,nan,-7.602016624,nan,-12.41650179
445,20241102,1300,nan,-7.732706219,nan,-8.01121737,nan,-13.22917768
446,20241102,1400,nan,-9.982535754,nan,-8.616653693,nan,-14.09728103
447,20241102,1500,nan,-5.373542242,nan,-6.126637763,nan,-13.03304496
448,20241102,1600,nan,1.22624598,nan,-2.99569073,nan,-11.47520222
449,20241102,1700,nan,-3.747138086,nan,-5.193801797,nan,-13.09191187
450,20241102,1800,nan,-1.94461355,nan,-4.603068194,nan,-12.99393414
451,20241102,1900,nan,1.222878986,nan,-3.165039029,nan,-12.30543416
452,20241102,2000,nan,2.250588214,nan,-2.41570667,nan,-12.06043829
453,20241102,2100,nan,-0.3893838615,nan,-3.464132383,nan,-12.9073856
454,20241102,2200,nan,-0.1362903202,nan,-3.404578309,nan,-12.97974243
455,20241102,2300,nan,-1.822236524,nan,-4.066459903,nan,-13.48056987
